Feature,Absolute Spearman Correlation,Normalized Spearman
node_disk_write_bytes_total,0.6952933607386896,1.0
message_rate_variance,0.67297704847956,0.9679037460742894
request_rate_variance,0.546163517233088,0.7855152200113575
node_disk_io_time_seconds_total,0.3807107953147111,0.5475541933986519
node_memory_MemAvailable_bytes,0.27988708241314764,0.40254531140034416
kafka_server_brokertopicmetrics_messagesin_total,0.2613551930435391,0.37589197280105136
memory_usage_variance,0.2508669145984137,0.36080729194924155
node_disk_read_bytes_total,0.23845962401263804,0.3429626075521491
kafka_network_requestmetrics_totaltimems,0.20938694908547847,0.3011490701752463
process_cpu_seconds_total,0.16087967395679537,0.23138387771440028
kafka_server_brokertopicmetrics_totalproducerequests_total,0.13773618655234982,0.19809794588864896
kafka_server_brokertopicmetrics_bytesin_total,0.11518976148884863,0.16567073410059516
message_size_bytes,0.10197054898861,0.1466583096382152
java_lang_memory_heapmemoryusage_used,0.019625524739335383,0.028226250741823486
java_lang_threading_threadcount,,
