2025-04-22 00:58:12,163 - workload_generator - INFO - Connecting to Kafka at localhost:9092
2025-04-22 00:58:12,218 - workload_generator - INFO - Connected to Kafka
2025-04-22 00:58:12,237 - workload_generator - INFO - Started Prometheus metrics server on port 8000
2025-04-22 00:58:12,238 - workload_generator - INFO - Starting workload rotation for 1 cycles
2025-04-22 00:58:12,238 - workload_generator - INFO - Starting cycle 1/1
2025-04-22 00:58:12,238 - workload_generator - INFO - Starting real-time event-driven workload for 7200 seconds
2025-04-22 00:58:12,870 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3592 bytes
2025-04-22 00:58:13,380 - workload_generator - INFO - Throughput: 876.37 msgs/sec, 2.94 MB/sec
2025-04-22 00:58:13,380 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3505 bytes
2025-04-22 00:58:13,912 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3478 bytes
2025-04-22 00:58:14,452 - workload_generator - INFO - Throughput: 903.50 msgs/sec, 3.03 MB/sec
2025-04-22 00:58:14,453 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3553 bytes
2025-04-22 00:58:14,987 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3500 bytes
2025-04-22 00:58:15,521 - workload_generator - INFO - Throughput: 913.97 msgs/sec, 3.06 MB/sec
2025-04-22 00:58:15,522 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3610 bytes
2025-04-22 00:58:16,051 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3495 bytes
2025-04-22 00:58:16,572 - workload_generator - INFO - Throughput: 922.97 msgs/sec, 3.09 MB/sec
2025-04-22 00:58:16,573 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3553 bytes
2025-04-22 00:58:17,104 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3462 bytes
2025-04-22 00:58:17,769 - workload_generator - INFO - Throughput: 904.08 msgs/sec, 3.03 MB/sec
2025-04-22 00:58:17,770 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3563 bytes
2025-04-22 00:58:18,264 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3581 bytes
2025-04-22 00:58:18,802 - workload_generator - INFO - Throughput: 914.11 msgs/sec, 3.06 MB/sec
2025-04-22 00:58:18,803 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3488 bytes
2025-04-22 00:58:19,345 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3634 bytes
2025-04-22 00:58:19,847 - workload_generator - INFO - Throughput: 919.98 msgs/sec, 3.08 MB/sec
2025-04-22 00:58:19,848 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3503 bytes
2025-04-22 00:58:21,076 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3382 bytes
2025-04-22 00:58:21,660 - workload_generator - INFO - Throughput: 849.11 msgs/sec, 2.84 MB/sec
2025-04-22 00:58:21,674 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3435 bytes
2025-04-22 00:58:22,430 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3569 bytes
2025-04-22 00:58:23,089 - workload_generator - INFO - Throughput: 829.49 msgs/sec, 2.77 MB/sec
2025-04-22 00:58:23,091 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3578 bytes
2025-04-22 00:58:23,800 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3535 bytes
2025-04-22 00:58:24,327 - workload_generator - INFO - Throughput: 827.27 msgs/sec, 2.77 MB/sec
2025-04-22 00:58:24,327 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3526 bytes
2025-04-22 00:58:24,879 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3583 bytes
2025-04-22 00:58:25,376 - workload_generator - INFO - Throughput: 837.30 msgs/sec, 2.80 MB/sec
2025-04-22 00:58:25,377 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3508 bytes
2025-04-22 00:58:25,913 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3438 bytes
2025-04-22 00:58:26,438 - workload_generator - INFO - Throughput: 845.08 msgs/sec, 2.82 MB/sec
2025-04-22 00:58:26,447 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3586 bytes
2025-04-22 00:58:26,967 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3498 bytes
2025-04-22 00:58:27,498 - workload_generator - INFO - Throughput: 851.91 msgs/sec, 2.85 MB/sec
2025-04-22 00:58:27,499 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3497 bytes
2025-04-22 00:58:28,011 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3580 bytes
2025-04-22 00:58:28,593 - workload_generator - INFO - Throughput: 856.04 msgs/sec, 2.86 MB/sec
2025-04-22 00:58:28,622 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3454 bytes
2025-04-22 00:58:29,131 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3494 bytes
2025-04-22 00:58:29,693 - workload_generator - INFO - Throughput: 859.38 msgs/sec, 2.87 MB/sec
2025-04-22 00:58:29,694 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3587 bytes
2025-04-22 00:58:30,194 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3388 bytes
2025-04-22 00:58:30,728 - workload_generator - INFO - Throughput: 865.37 msgs/sec, 2.89 MB/sec
2025-04-22 00:58:30,729 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3481 bytes
2025-04-22 00:58:31,262 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3570 bytes
2025-04-22 00:58:31,780 - workload_generator - INFO - Throughput: 869.94 msgs/sec, 2.90 MB/sec
2025-04-22 00:58:31,780 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3484 bytes
